Aaliyah,Alaiyah
Abigail,Abbey
Abigail,Abbie
Abigail,Abby
Abigail,Abii
Adelaide,Addie
Adelaide,Addy
Adelaide,Adel
Adelaide,Adela
Adelaide,Adele
Adelaide,Adeline
Adelaide,Adelle
Adriana,Adrienne
Agnes,Aggie
Aileen,Eileen
Aileen,Ileen
Aikaterina,Akaterina
Aimee,Aime
Ainsley,Ainsly
Alana,Allana
Alana,Alanna
Alana,Allanah
Alana,Alannah
Aleesha,Aleisha
Aleesha,Alessia
Aleesha,Alysha
Aleesha,Alyssa
Alexis,Alexys
Alexandra,Alexa
Alexandra,Alexia
Alexandra,Alexanda
Alexandra,Alexanderia
Alexandra,Alexandria
Alexandra,Sandie
Alexandra,Sandra
Alexandra,Sandy
Alexandra,Alessandra
Alexandra,Alessandria
Alexandra,Lexie
Alice,Alia
Alice,Alicia
Alisa,Alisha
Alisa,Alissa
Alisa,Alison
Alisa,Allie
Alisa,Allison
Alisa,Aliza
Amalia,Amalie
Amalia,Amelie
Amalia,Amelia
Anastasia,Stacia
Amanda,Amy
Amanda,Mandy
Andrea,Andie
Aneka,Anika
Angela,Angel
Angela,Angelo
Angela,Angie
Angela,Angelica
Angela,Angelina
Anita,Agneta
Anita,Neta
Anita,Netta
Anita,Nita
Anna,Anette
Anna,Ann
Anna,Anne
Anna,Annette
Anna,Annie
Anna,Anny
Annabella,Annabel
Annabella,Annabelle
Annalise,Anneliese
Arki,Arky
Ashley,Ashleigh
Ashley,Ashlee
Ashley,Ashlie
Audrey,Audie
Ayla,Aila
Bailey,Bailee
Barbara,Bab
Barbara,Babb
Barbara,Babs
Barbara,Barb
Barbara,Barbe
Barbara,Barbie
Barbara,Barbra
Beatrice,Bea
Beatrice,Bee
Beatrice,Trixie
Beatrice,Trixy
Belinda,Linda
Belinda,Lindy
Belinda,Lydie
Belinda,Lynda
Beverly,Bev
Beverly,Beverley
Bonita,Bonnie
Bonita,Bonny
Breana,Breeanne
Breana,Brianna
Breony,Briony
Bridget,Biddy
Bridget,Brigette
Brigitte,Brigitta
Brigitte,Birgit
Brigitte,Birgitte
Brigitte,Birgitta
Bronwyn,Bronvyn
Bronwyn,Bronwin
Campbell,Cambell
Camille,Camilla
Carina,Cara
Carina,Kara
Carina,Karen
Carina,Karin
Carina,Karina
Carla,Carly
Carla,Karla
Carla,Karly
Carmen,Karmen
Casey,Kaysey
Casey,Kasey
Carmel,Carmela
Carol,Carel
Carol,Carole
Carol,Carolina
Carol,Caroline
Carol,Carollyn
Carol,Carolyn
Carol,Carrie
Carol,Caryl
Carol,Karol
Carol,Ocarroll
Cassandra,Cassie
Cassandra,Cassidy
Catherine,Caitlin
Catherine,Caitlyn
Catherine,Caterina
Catherine,Cath
Catherine,Cathie
Catherine,Cathline
Catherine,Cathy
Catherine,Catriona
Catherine,Kate
Catherine,Kath
